nuts2_id,country,scenario,cf
SK02,Slovakia,Baseline,590.26
SK01,Slovakia,Baseline,1210.36
SK01,Slovakia,Baseline,1207.93
SK01,Slovakia,Baseline,444.31
SK01,Slovakia,Baseline,602.79
SK01,Slovakia,Baseline,2021.82
SK01,Slovakia,Baseline,1010.49
SK01,Slovakia,Baseline,1424.6
SK01,Slovakia,Baseline,961.67
SK01,Slovakia,Baseline,1539.3
SK01,Slovakia,Baseline,683.59
SK01,Slovakia,Baseline,258.14
SK01,Slovakia,Baseline,549.76
SK01,Slovakia,Baseline,265.77
SK01,Slovakia,Baseline,867.24
SK01,Slovakia,Baseline,1536.98
SK01,Slovakia,Baseline,1165.08
SK01,Slovakia,Baseline,792.31
SK03,Slovakia,Baseline,736.8
SK03,Slovakia,Baseline,1545.5
SK03,Slovakia,Baseline,1519.57
SK03,Slovakia,Baseline,5441.47
SK03,Slovakia,Baseline,1110.73
SK03,Slovakia,Baseline,1651.04
SK03,Slovakia,Baseline,3268.78
SK03,Slovakia,Baseline,3471.38
SK03,Slovakia,Baseline,2631.53
SK03,Slovakia,Baseline,927.11
SK03,Slovakia,Baseline,778.87
SK03,Slovakia,Baseline,2448.22
SK03,Slovakia,Baseline,3175.34
SK03,Slovakia,Baseline,2280.6
SK03,Slovakia,Baseline,1386.19
SK03,Slovakia,Baseline,2419.67
SK03,Slovakia,Baseline,1470.27
SK03,Slovakia,Baseline,3709.73
SK03,Slovakia,Baseline,1594.75
SK03,Slovakia,Baseline,1935.84
SK03,Slovakia,Baseline,1648.58
SK03,Slovakia,Baseline,811.98
SK03,Slovakia,Baseline,2058.6
SK03,Slovakia,Baseline,7762.56
SK03,Slovakia,Baseline,735.42
SK04,Slovakia,Baseline,548.99
SK04,Slovakia,Baseline,1246.17
SK04,Slovakia,Baseline,1580.26
SK04,Slovakia,Baseline,2279.62
SK04,Slovakia,Baseline,820.56
SK04,Slovakia,Baseline,1928.47
SK04,Slovakia,Baseline,588.31
SK04,Slovakia,Baseline,1706.38
SK04,Slovakia,Baseline,404.71
SK04,Slovakia,Baseline,256.76
SK04,Slovakia,Baseline,1347.55
SK04,Slovakia,Baseline,3043.94
SK04,Slovakia,Baseline,1523.33
SK04,Slovakia,Baseline,2600.76
SK04,Slovakia,Baseline,1284.21
SK04,Slovakia,Baseline,530.05
SK04,Slovakia,Baseline,962.83
